iau_id1,countrycode,latitude,longitude
IAU-019685-1,DZA,36.3490994,6.6040823
IAU-019690-1,DZA,35.2095918,-0.6332981
IAU-019691-1,DZA,34.8521918,0.151919
IAU-019692-1,DZA,36.264719,2.7975897
IAU-019711-1,DZA,36.775758,3.003886
IAU-019717-1,DZA,36.1961376,5.3597161
IAU-019726-1,DZA,35.5396548,6.1497675
IAU-019731-1,DZA,36.2247139,1.2413742
IAU-019732-1,DZA,35.3356698,1.3027311
IAU-019747-1,DZA,31.9416083,5.3068146
IAU-019752-1,DZA,35.8780091,7.090309
IAU-019753-1,DZA,35.4280891,8.0533943
IAU-019770-1,DZA,36.7631187,3.4763702
IAU-019774-1,DZA,36.298694,7.9259208
IAU-019777-1,DZA,36.0470328,4.8013693
IAU-019778-1,DZA,34.8455368,5.7481969
IAU-019779-1,DZA,36.8012845,5.7517042
IAU-019787-1,DZA,36.7039835,4.0505267
IAU-019830-1,DZA,36.5047629,2.8759795
IAU-019855-1,DZA,34.6539822,3.2845556
IAU-024019-1,DZA,33.276426,-0.3178793
IAU-024020-1,DZA,33.659135,1.0684559
IAU-024021-1,DZA,36.4480667,2.639401
IAU-024024-1,DZA,43.6667302,-79.3998276
IAU-024027-1,DZA,36.2833324,6.5909949
IAU-024028-1,DZA,35.6346757,6.2774298
IAU-024037-1,DZA,35.7354028,-0.5364174
IAU-024060-1,DZA,36.7507703,3.0149271
IAU-024061-1,DZA,36.2767083,6.5864961
IAU-024062-1,DZA,36.820435,7.7271765
IAU-024063-1,DZA,36.2796602,6.5901235
IAU-024064-1,DZA,35.2076456,-0.628998
IAU-024065-1,DZA,36.7816117,3.0124453
IAU-024071-1,DZA,33.8107656,2.8644771
IAU-024072-1,DZA,36.8641217,6.9249062
IAU-019319-1,AND,42.4653237,1.490649
IAU-019355-1,AND,42.5454374,1.513622
IAU-008914-1,AGO,-8.9218151,13.1933751
IAU-009055-1,AGO,-8.8727586,13.2877585
IAU-018509-3,AGO,-8.9429476,13.2808108
IAU-018519-1,AGO,-8.85756,13.2818806
IAU-018542-1,AGO,-8.9799514,13.1309205
IAU-018680-1,AGO,-8.8992123,13.2008545
IAU-018684-1,AGO,-8.8884165,13.183948
IAU-018686-1,AGO,-8.9073591,13.4009113
IAU-018705-1,AGO,-8.8144886,13.2357827
IAU-018716-1,AGO,-8.9218823,13.182865
IAU-018727-1,AGO,-8.9160173,13.1937455
IAU-018741-1,AGO,-8.9337781,13.3563823
IAU-024357-1,AGO,-8.8158854,13.2297998
IAU-024358-1,AGO,41.63133,-85.0134723
IAU-024359-1,AGO,-8.8948577,13.191896
IAU-024360-1,AGO,31.4942984,74.2983699
IAU-024362-1,AGO,41.63133,-85.0134723
IAU-024363-1,AGO,-8.8362096,13.3085481
IAU-024364-1,AGO,-8.9713721,13.1732669
IAU-024365-1,AGO,-8.9669995,13.2565427
IAU-024366-1,AGO,-8.7803056,13.3932489
IAU-024367-1,AGO,-8.9928931,13.2174084
IAU-024368-1,AGO,-23.4770466,-46.2557529
IAU-024369-1,AGO,-12.5736065,13.4004926
IAU-024371-1,AGO,-14.9584245,13.4842599
IAU-024372-1,AGO,-14.8934311,13.4638928
IAU-024373-1,AGO,-14.9163203,13.4930132
IAU-024374-1,AGO,41.6564858,-85.0001463
IAU-024376-1,AGO,-7.6082329,15.052492
IAU-024377-1,AGO,-8.5935404,13.6050464
IAU-024378-1,AGO,-12.5817603,13.4106082
IAU-024379-1,AGO,-11.2051745,13.8411448
IAU-024380-1,AGO,-6.2743473,14.2518581
IAU-024381-1,AGO,-7.3734902,20.8373845
IAU-024383-1,AGO,-9.5754889,16.3790483
IAU-024384-1,AGO,-9.551291,16.346993
IAU-024385-1,AGO,-17.7649009,15.766925
IAU-024386-1,AGO,-12.7742514,15.7492125
IAU-024387-1,AGO,43.9454711,-78.8967854
IAU-024388-1,AGO,-14.919888,13.4857298
IAU-024389-1,AGO,-14.9180842,13.485318
IAU-024390-1,AGO,-7.617492,15.0654544
IAU-024391-1,AGO,43.7824893,-79.1887005
