iau_id1,year,students5_estimated
IAU-013550-1,2015,16723
IAU-013550-1,2020,20492
IAU-014347-1,2010,1191
IAU-014347-1,2015,1602
IAU-014347-1,2020,1970
IAU-015227-1,1995,1160
IAU-015227-1,2000,1851
IAU-015227-1,2005,2297
IAU-015227-1,2010,2742
IAU-015227-1,2015,2955
IAU-015227-1,2020,3000
IAU-016108-1,1995,343
IAU-016108-1,2000,533
IAU-016108-1,2005,1175
IAU-016108-1,2010,1985
IAU-016108-1,2015,2728
IAU-016108-1,2020,7000
IAU-022210-1,2010,746
IAU-022210-1,2015,965
IAU-022210-1,2020,1044
IAU-022336-1,2010,1359
IAU-022336-1,2015,1816
IAU-022336-1,2020,3000
IAU-022351-1,2010,746
IAU-022351-1,2015,965
IAU-022351-1,2020,1136
IAU-027358-1,2010,1320
IAU-027358-1,2015,1817
IAU-027358-1,2020,2216
IAU-027359-1,2010,1320
IAU-027359-1,2015,1817
IAU-027359-1,2020,2216
IAU-027360-1,2015,1818
IAU-027360-1,2020,2226
IAU-027361-1,2015,1818
IAU-027361-1,2020,2226
IAU-027364-1,2010,1323
IAU-027364-1,2015,1817
IAU-027364-1,2020,2207
IAU-027367-1,2010,1190
IAU-027367-1,2015,1604
IAU-027367-1,2020,1975
IAU-027370-1,2015,1605
IAU-027370-1,2020,1980
IAU-027373-1,2015,1605
IAU-027373-1,2020,1978
IAU-027374-1,2015,1608
IAU-027374-1,2020,1988
IAU-027378-1,2010,1192
IAU-027378-1,2015,1601
IAU-027378-1,2020,1964
IAU-000633-1,1970,401
IAU-000633-1,1975,686
IAU-000633-1,1980,743
IAU-000633-1,1985,795
IAU-000633-1,1990,765
IAU-000633-1,1995,722
IAU-000633-1,2000,695
IAU-000633-1,2005,768
IAU-000633-1,2010,857
IAU-000633-1,2015,957
IAU-000633-1,2020,1127
IAU-016982-1,2005,715
IAU-016982-1,2010,840
IAU-016982-1,2015,1004
IAU-016982-1,2020,1233
IAU-019892-1,1975,404
IAU-019892-1,1980,539
IAU-019892-1,1985,672
IAU-019892-1,1990,844
IAU-019892-1,1995,908
IAU-019892-1,2000,1140
IAU-019892-1,2005,1492
IAU-019892-1,2010,1835
IAU-019892-1,2015,2399
IAU-019892-1,2020,2896
IAU-019893-1,1975,371
IAU-019893-1,1980,542
IAU-019893-1,1985,410
IAU-019893-1,1990,766
IAU-019893-1,1995,1144
IAU-019893-1,2000,1682
IAU-019893-1,2005,2196
IAU-019893-1,2010,3249
IAU-019893-1,2015,5295
IAU-019893-1,2020,6556
IAU-019895-1,2005,714
IAU-019895-1,2010,839
IAU-019895-1,2015,1004
IAU-019895-1,2020,1136
IAU-019896-1,2005,716
IAU-019896-1,2010,840
IAU-019896-1,2015,1004
IAU-019896-1,2020,1133
IAU-019897-1,2005,1126
IAU-019897-1,2010,4096
IAU-019897-1,2015,9508
IAU-019897-1,2020,16331
IAU-019899-1,1955,299
IAU-019899-1,1960,532
IAU-019899-1,1965,797
IAU-019899-1,1970,1104
IAU-019899-1,1975,2045
IAU-019899-1,1980,3510
IAU-019899-1,1985,4919
IAU-019899-1,1990,5266
IAU-019899-1,1995,2520
IAU-019899-1,2000,2518
IAU-019899-1,2005,3224
IAU-019899-1,2010,5871
IAU-019899-1,2015,12497
IAU-019899-1,2020,13842
IAU-019900-1,2010,1007
IAU-019900-1,2015,1509
IAU-019900-1,2020,2303
IAU-019901-1,2010,11783
IAU-019901-1,2015,17317
IAU-019901-1,2020,25000
IAU-019903-1,1960,234
IAU-019903-1,1965,330
IAU-019903-1,1970,512
IAU-019903-1,1975,752
IAU-019903-1,1980,1096
IAU-019903-1,1985,771
IAU-019903-1,1990,1228
IAU-019903-1,1995,2279
IAU-019903-1,2000,3955
IAU-019903-1,2005,6260
IAU-019903-1,2010,9900
IAU-019903-1,2015,12966
IAU-019903-1,2020,11071
IAU-019904-1,1950,
IAU-019904-1,1955,174
IAU-019904-1,1960,189
IAU-019904-1,1965,204
IAU-019904-1,1970,219
IAU-019904-1,1975,244
IAU-019904-1,1980,269
IAU-019904-1,1985,297
IAU-019904-1,1990,373
IAU-019904-1,1995,466
IAU-019904-1,2000,558
IAU-019904-1,2005,650
IAU-019904-1,2010,742
IAU-019904-1,2015,816
IAU-019904-1,2020,899
IAU-019905-1,1960,4774
IAU-019905-1,1965,8045
IAU-019905-1,1970,13435
IAU-019905-1,1975,15403
IAU-019905-1,1980,15103
IAU-019905-1,1985,10200
IAU-019905-1,1990,11250
IAU-019905-1,1995,9904
IAU-019905-1,2000,15085
IAU-019905-1,2005,21415
IAU-019905-1,2010,27348
IAU-019905-1,2015,30767
IAU-019905-1,2020,33790
IAU-019906-1,1995,343
IAU-019906-1,2000,1358
IAU-019906-1,2005,7768
IAU-019906-1,2010,7788
IAU-019906-1,2015,12250
IAU-019906-1,2020,15178
IAU-019909-1,2005,716
IAU-019909-1,2010,840
IAU-019909-1,2015,1004
IAU-019909-1,2020,1133
IAU-019910-1,2010,839
IAU-019910-1,2015,1005
IAU-019910-1,2020,1137
IAU-020336-1,2005,261
IAU-020336-1,2010,356
IAU-020336-1,2015,524
IAU-020336-1,2020,583
IAU-021857-1,2005,518
IAU-021857-1,2010,707
IAU-021857-1,2015,1039
IAU-021857-1,2020,1500
IAU-023044-1,2015,110
IAU-023044-1,2020,160
IAU-023218-1,2015,2401
IAU-023218-1,2020,2960
IAU-023220-1,2015,692
IAU-023220-1,2020,1000
IAU-026949-1,2010,838
IAU-026949-1,2015,1005
IAU-026949-1,2020,1142
IAU-027206-1,2010,838
IAU-027206-1,2015,1005
IAU-027206-1,2020,1139
IAU-027230-1,2010,839
IAU-027230-1,2015,1005
IAU-027230-1,2020,1138
IAU-027244-1,2010,838
IAU-027244-1,2015,1005
IAU-027244-1,2020,957
IAU-027245-1,2015,1005
IAU-027245-1,2020,1143
IAU-027246-1,2010,838
IAU-027246-1,2015,1005
IAU-027246-1,2020,1139
IAU-002166-1,2005,3715
IAU-002166-1,2010,4747
IAU-002166-1,2015,6535
IAU-002166-1,2020,7730
IAU-002167-1,2005,3715
IAU-002167-1,2010,4747
IAU-002167-1,2015,6535
IAU-002167-1,2020,7879
IAU-002170-1,2010,4555
IAU-002170-1,2015,5700
IAU-002170-1,2020,6054
IAU-002172-1,2010,4738
IAU-002172-1,2015,6536
IAU-002172-1,2020,7754
IAU-002173-1,2005,3153
IAU-002173-1,2010,4794
IAU-002173-1,2015,6000
IAU-002173-1,2020,6373
IAU-004023-1,1970,459
IAU-004023-1,1975,653
IAU-004023-1,1980,845
IAU-004023-1,1985,1041
IAU-004023-1,1990,1310
IAU-004023-1,1995,1602
IAU-004023-1,2000,1919
IAU-004023-1,2005,2229
IAU-004023-1,2010,2571
IAU-004023-1,2015,3057
IAU-004023-1,2020,7475
IAU-004071-1,1965,334
IAU-004071-1,1970,473
IAU-004071-1,1975,671
IAU-004071-1,1980,867
IAU-004071-1,1985,1063
IAU-004071-1,1990,1333
IAU-004071-1,1995,1624
IAU-004071-1,2000,1938
IAU-004071-1,2005,2245
IAU-004071-1,2010,2581
IAU-004071-1,2015,3057
IAU-004071-1,2020,5149
IAU-004104-1,1990,1240
IAU-004104-1,1995,1534
IAU-004104-1,2000,1858
